userid,newfbid,school,department,class,schregion,tracking,schoolnb,classnb,actualnb,gender,birthyear,marriage1,major1,major2,grade,scorelevel,mailcode,liveplace,height,weight,wakehour,wakeminute,sleephour,sleepminute,eatoutside,stayoutside,liveabroad,travel,travel_NEasia,travel_SEasia,travel_China,travel_HKMacao,travel_MidEast,travel_Europe,travel_CenSouthamerica,travel_Namerica,travel_AustraNewzea,travel_Africa,travel_Other,travel_Never,contact_people,contact_known,contact_web1,invest,invest_stock,invest_ETF,invest_bond,invest_derivative,invest_other,invest_never,invest_otherdes,stock,stock_concrete,stock_food,stock_plastic,stock_textile,stock_machine,stock_electric,stock_glass,stock_paper,stock_steel,stock_rubber,stock_mobile,stock_building,stock_chemical,stock_bio,stock_oil,stock_semicon,stock_computer,stock_photoelec,stock_communication,stock_eleccompo,stock_elecdistributor,stock_net,stock_elecother,stock_shipping,stock_tourism,stock_fin,stock_department,stock_composite,stock_other,investnews,news_family,news_friend,news_pro,news_massmedia,news_socialmedia,news_none,talksociety,politicinterest,vote,nettime,happy,health,exercise,career,career_other,c1,c1_1,c1_2,c1_3,c2,c2_1,c2_2,c2_3,c2_4,c2_5,c2_6,c2_7,c2_8,c2_9,c2_10,c2_11,c3,c3_1,c3_2,c3_3,c3_4,c4,c4_1,c4_2,c4_3,c4_4,c4_5,c4_6,c4_7,c4_8,c4_9,c4_10,c4_11,c4_12,c4_13,c4_14,c4_15,c4_16,c4_17,c4_18,c4_19,c4_20,c4_21,c5,c5_1,c5_2,c5_3,c5_4,c5_5,c5_6,c5_7,c5_8,c5_9,c5_10,c5_11,c5_12,c5_13,c5_14,c5_15,c5_16,c5_17,c5_18,c5_19,c5_20,c5_21,c6,c6_1,c6_2,c6_3,c6_4,c6_5,c6_6,snatype,snatype1,snatype2,snatype3,depress,netaddict,FBaddict,open,extra,agree,consci,neuro,stufin,data,c_error,lie
875,27e1c2fdffac4d456b710ac9c054e320,16,2,0,3,1,55,55,54,F,1993,N,8,62,4,L 25%,912,Rural,170.0,65.0,9.0,0.0,1.0,0.0,7.0,7.0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,5.0,3.0,2.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,15.0,6,3,6,2,,"c(""3"", ""2"", ""2"")",2,3,3,"c(""4"", ""2"", ""2"", ""2"", ""1"", ""1"", ""3"", ""2"", ""4"", ""3"", ""3"")",1,3,3,3,4,4,2,3,1,2,2,"c(""5"", ""4"", ""2"", ""1"")",1,2,4,5,"c(""3"", ""1"", ""2"", ""3"", ""1"", ""2"", ""2"", ""3"", ""1"", ""4"", ""1"", ""1"", ""3"", ""1"", ""2"", ""1"", ""3"", ""1"", ""2"", ""2"", ""2"")",3,1,2,3,1,2,2,3,1,4,1,1,3,1,2,1,3,1,2,2,2,"c(""5"", ""4"", ""2"", ""2"", ""2"", ""2"", ""1"", ""1"", ""2"", ""3"", ""2"", ""4"", ""1"", ""4"", ""2"", ""3"", ""3"", ""4"", ""1"", ""2"", ""2"")",5,4,2,2,2,2,1,1,2,3,2,4,1,4,2,3,3,4,1,2,2,"c(""3"", ""3"", ""2"", ""3"", ""2"", ""1"")",3,3,2,3,2,1,"c(""1"", ""2"")",1,1,0,37,48,14,3.5,4.0,3.0,2.5,2.0,1,1,0,0
1149,7e353850fd0d68bf82456bb009526ea3,16,2,0,3,1,55,55,54,F,1994,N,8,62,4,H 25%,912,Town,153.0,55.0,9.0,0.0,0.0,30.0,7.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,1.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1.0,3,2,1,8.0,5,2,6,2,,"c(""4"", ""3"", ""3"")",1,2,2,"c(""2"", ""2"", ""2"", ""3"", ""2"", ""3"", ""2"", ""2"", ""4"", ""2"", ""3"")",3,3,3,2,3,2,3,3,1,3,2,"c(""4"", ""4"", ""2"", ""3"")",2,2,4,3,"c(""2"", ""1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""1"", ""4"", ""2"", ""1"", ""3"", ""2"", ""2"", ""2"", ""2"", ""1"", ""2"", ""2"", ""2"")",2,1,2,2,2,2,2,2,1,4,2,1,3,2,2,2,2,1,2,2,2,"c(""3"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1"", ""1"", ""2"", ""1"", ""2"", ""1"", ""2"", ""2"", ""4"", ""1"", ""1"", ""1"")",3,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,4,1,1,1,"c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"")",1,1,1,1,1,1,2,0,1,0,37,29,6,3.0,2.0,2.5,2.5,3.0,1,1,0,0
780,dbbaaebda8afabbcaee0e6411621bf54,16,2,0,3,1,55,55,54,F,1994,N,8,62,4,L 25%,854,Metro,156.0,50.0,10.0,0.0,2.0,30.0,7.0,2.0,3,"c(""1"", ""2"", ""3"", ""4"")",1,1,1,1,0,0,0,0,0,0,0,0,4.0,5.0,3.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1.0,3,4,1,6.0,5,2,6,2,,"c(""4"", ""4"", ""4"")",1,1,1,"c(""2"", ""1"", ""1"", ""2"", ""2"", ""2"", ""2"", ""1"", ""4"", ""4"", ""2"")",3,4,4,3,3,3,3,4,1,1,3,"c(""5"", ""5"", ""1"", ""1"")",1,1,5,5,"c(""1"", ""2"", ""3"", ""4"", ""2"", ""2"", ""3"", ""2"", ""1"", ""4"", ""3"", ""1"", ""2"", ""2"", ""2"", ""1"", ""2"", ""1"", ""1"", ""1"", ""3"")",1,2,3,4,2,2,3,2,1,4,3,1,2,2,2,1,2,1,1,1,3,"c(""1"", ""1"", ""2"", ""4"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""4"", ""1"", ""2"", ""1"")",1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,1,"c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"")",1,1,1,1,1,1,"c(""1"", ""3"")",1,0,1,39,26,6,2.5,2.5,3.0,2.5,1.5,1,1,0,0
687,05158400b5db62c93722d8bf5a628ef0,16,2,0,3,1,55,55,54,M,1993,N,8,62,4,50-75%,626,Rural,193.0,95.0,10.0,0.0,1.0,0.0,5.0,4.0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,4.0,5.0,2.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,3,2,1,5.0,5,4,3,2,,"c(""3"", ""3"", ""3"")",2,2,2,"c(""3"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""3"", ""4"", ""2"", ""3"")",2,3,3,3,3,3,3,2,1,3,2,"c(""4"", ""4"", ""2"", ""2"")",2,2,4,4,"c(""2"", ""1"", ""2"", ""2"", ""2"", ""1"", ""2"", ""3"", ""2"", ""4"", ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1"")",2,1,2,2,2,1,2,3,2,4,1,1,3,1,1,1,3,1,1,1,1,"c(""3"", ""2"", ""2"", ""2"", ""2"", ""1"", ""1"", ""1"", ""2"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""4"", ""1"", ""1"", ""1"")",3,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,4,1,1,1,"c(""4"", ""2"", ""1"", ""1"", ""1"", ""1"")",4,2,1,1,1,1,"c(""1"", ""2"")",1,1,0,32,29,10,3.0,3.0,2.5,3.0,2.5,1,1,0,0
1147,4dbc5fa738a053cba807cce3ff1434d7,16,2,0,3,1,55,55,54,F,1994,N,8,62,4,25-50%,853,Metro,161.0,46.0,7.0,0.0,23.0,0.0,5.0,5.0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,3.0,4.0,2.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"c(""1"", ""2"")",1.0,1.0,0.0,0.0,0.0,0.0,2,2,1,5.0,5,5,6,1,,"c(""4"", ""2"", ""2"")",1,3,3,"c(""3"", ""2"", ""2"", ""2"", ""2"", ""2"", ""3"", ""2"", ""4"", ""2"", ""3"")",2,3,3,3,3,3,2,3,1,3,2,"c(""4"", ""4"", ""2"", ""1"")",2,2,4,5,"c(""4"", ""1"", ""1"", ""3"", ""2"", ""2"", ""2"", ""3"", ""1"", ""4"", ""1"", ""1"", ""4"", ""2"", ""1"", ""1"", ""4"", ""1"", ""3"", ""1"", ""2"")",4,1,1,3,2,2,2,3,1,4,1,1,4,2,1,1,4,1,3,1,2,"c(""4"", ""2"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""4"", ""1"", ""1"", ""1"")",4,2,1,3,1,1,1,1,1,2,2,1,1,1,1,2,1,4,1,1,1,"c(""4"", ""2"", ""1"", ""1"", ""1"", ""1"")",4,2,1,1,1,1,"c(""1"", ""2"")",1,1,0,40,29,10,3.0,3.0,3.0,2.5,2.5,1,1,0,0
725,015fae5c20aa30737a8a3d2d99cb7a97,16,2,0,3,1,55,55,54,F,1993,N,8,62,4,H 25%,912,Rural,167.0,57.0,9.0,0.0,0.0,0.0,7.0,1.0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,3.0,5.0,3.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"c(""1"", ""4"", ""5"")",1.0,0.0,0.0,1.0,1.0,0.0,2,2,1,6.0,5,4,1,2,,"c(""3"", ""3"", ""3"")",2,2,2,"c(""4"", ""3"", ""1"", ""1"", ""1"", ""2"", ""2"", ""2"", ""4"", ""2"", ""2"")",1,2,4,4,4,3,3,3,1,3,3,"c(""3"", ""2"", ""3"", ""2"")",3,4,3,4,"c(""1"", ""2"", ""2"", ""4"", ""2"", ""1"", ""2"", ""2"", ""1"", ""4"", ""1"", ""1"", ""4"", ""1"", ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""2"")",1,2,2,4,2,1,2,2,1,4,1,1,4,1,1,1,3,1,1,1,2,"c(""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""4"", ""1"", ""1"", ""1"")",2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,"c(""4"", ""1"", ""1"", ""1"", ""1"", ""1"")",4,1,1,1,1,1,"c(""1"", ""2"", ""3"")",1,1,1,34,23,9,3.0,3.5,2.0,3.0,2.0,1,1,0,0
720,e3f470a2208949e4d57823e73a9c7546,16,2,0,3,1,55,55,54,F,1992,N,8,62,4,25-50%,330,Rural,160.0,58.0,9.0,30.0,23.0,30.0,7.0,3.0,1,"c(""1"", ""3"")",1,0,1,0,0,0,0,0,0,0,0,0,4.0,3.0,1.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"c(""4"", ""5"")",0.0,0.0,0.0,1.0,1.0,0.0,2,2,2,7.0,5,4,2,2,,"c(""3"", ""3"", ""3"")",2,2,2,"c(""3"", ""1"", ""2"", ""2"", ""3"", ""2"", ""3"", ""2"", ""4"", ""3"", ""2"")",2,4,3,3,2,3,2,3,1,2,3,"c(""3"", ""2"", ""1"", ""1"")",3,4,5,5,"c(""1"", ""1"", ""2"", ""3"", ""2"", ""1"", ""2"", ""3"", ""1"", ""4"", ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""3"", ""1"", ""1"", ""2"", ""3"")",1,1,2,3,2,1,2,3,1,4,1,1,3,1,1,1,3,1,1,2,3,"c(""3"", ""2"", ""1"", ""1"", ""1"", ""2"", ""2"", ""2"", ""1"", ""1"", ""2"", ""2"", ""1"", ""2"", ""1"", ""2"", ""2"", ""4"", ""1"", ""3"", ""1"")",3,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,4,1,3,1,"c(""2"", ""1"", ""1"", ""1"", ""1"", ""1"")",2,1,1,1,1,1,"c(""1"", ""2"")",1,1,0,34,33,7,2.0,3.0,3.5,2.5,2.0,1,1,0,0
874,9cda38bc4e25ed4f3cfca1b98448b0b2,16,2,0,3,1,55,55,54,M,1994,N,8,62,4,25-50%,948,Town,175.0,70.0,9.0,0.0,0.0,0.0,97.0,2.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,2,1.0,,0.0,0.0,,0.0,,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"c(""1"", ""6"")",1.0,0.0,0.0,0.0,0.0,0.0,4,2,2,2.0,6,4,4,8,,"c(""2"", ""3"", ""1"")",3,2,4,"c(""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", ""4"", ""2"", ""3"")",2,4,4,4,4,4,3,3,1,3,2,"c(""3"", ""4"", ""1"", ""1"")",3,2,5,5,"c(""2"", ""1"", ""1"", ""3"", ""2"", ""1"", ""3"", ""4"", ""1"", ""4"", ""1"", ""1"", ""4"", ""2"", ""2"", ""2"", ""4"", ""1"", ""2"", ""2"", ""2"")",2,1,1,3,2,1,3,4,1,4,1,1,4,2,2,2,4,1,2,2,2,"c(""2"", ""2"", ""1"", ""2"", ""2"", ""1"", ""1"", ""1"", ""2"", ""1"", ""2"", ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""4"", ""1"", ""1"", ""1"")",2,2,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,4,1,1,1,"c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"")",1,1,1,1,1,1,2,0,1,0,41,28,6,3.5,3.5,3.0,3.0,2.0,1,1,0,0
701,8a7a1c3ece0f6b34d6f927cb22ab262c,16,2,0,3,1,55,55,54,F,1994,N,8,62,4,25-50%,420,Metro,168.0,58.0,8.0,0.0,0.0,30.0,7.0,3.0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,2.0,4.0,2.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"c(""1"", ""2"", ""4"", ""5"")",1.0,1.0,0.0,1.0,1.0,0.0,4,2,1,5.0,5,4,2,2,,"c(""3"", ""3"", ""2"")",2,2,3,"c(""3"", ""2"", ""2"", ""2"", ""2"", ""3"", ""3"", ""3"", ""4"", ""3"", ""2"")",2,3,3,3,3,2,2,2,1,2,3,"c(""5"", ""5"", ""3"", ""1"")",1,1,3,5,"c(""2"", ""2"", ""2"", ""1"", ""2"", ""1"", ""1"", ""3"", ""1"", ""4"", ""1"", ""1"", ""4"", ""2"", ""2"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1"")",2,2,2,1,2,1,1,3,1,4,1,1,4,2,2,1,3,1,1,1,1,"c(""3"", ""2"", ""1"", ""1"", ""2"", ""1"", ""3"", ""1"", ""2"", ""1"", ""3"", ""2"", ""1"", ""1"", ""1"", ""2"", ""2"", ""4"", ""1"", ""2"", ""1"")",3,2,1,1,2,1,3,1,2,1,3,2,1,1,1,2,2,4,1,2,1,"c(""2"", ""1"", ""1"", ""1"", ""1"", ""1"")",2,1,1,1,1,1,2,0,1,0,33,33,7,2.5,2.5,3.0,3.0,2.0,1,1,0,0
945,b6412420dce6ce0f7bbaeddf197601b6,16,2,0,3,1,55,55,54,F,1994,N,6,62,4,25-50%,932,Town,156.0,41.0,8.0,0.0,1.0,0.0,5.0,2.0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,4.0,5.0,3.0,4,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,0.0,4,2,1,5.0,7,3,2,3,,"c(""4"", ""4"", ""2"")",1,1,3,"c(""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""4"", ""4"", ""4"")",3,4,4,4,4,4,3,4,1,1,1,"c(""5"", ""4"", ""1"", ""1"")",1,2,5,5,"c(""1"", ""1"", ""1"", ""4"", ""1"", ""1"", ""1"", ""4"", ""1"", ""4"", ""1"", ""3"", ""4"", ""2"", ""1"", ""1"", ""4"", ""2"", ""1"", ""1"", ""1"")",1,1,1,4,1,1,1,4,1,4,1,3,4,2,1,1,4,2,1,1,1,"c(""2"", ""1"", ""2"", ""3"", ""2"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""2"", ""4"", ""1"", ""2"", ""1"")",2,1,2,3,2,1,3,1,1,1,1,1,1,2,1,1,2,4,1,2,1,"c(""1"", ""1"", ""1"", ""1"", ""1"", ""1"")",1,1,1,1,1,1,"c(""1"", ""2"")",1,1,0,36,30,6,4.0,3.0,3.0,2.5,1.0,1,1,0,0
