id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
2664,3,3,3,3,3,unk,unk,1,White,F
2674,3,3,3,3,3,unk,unk,1,White,M
2652,3,3,3,3,3,unk,unk,1,White,M
2673,3,3,3,3,3,unk,unk,1,White,M
2655,3,3,3,3,3,unk,unk,1,Other,F
2668,3,3,3,3,3,unk,unk,1,White,M
2648,3,3,3,3,3,unk,unk,1,White,F
2661,3,3,3,3,3,unk,unk,1,White,M
8008,3,unk,3,3,3,unk,unk,1,unk,M
2672,3,3,3,3,3,unk,unk,1,White,M
2662,3,3,3,3,3,unk,unk,1,White,M
2670,3,3,3,3,3,unk,unk,1,White,F
2656,3,3,3,3,3,unk,unk,1,White,F
3089,3,606,3,3,3,unk,unk,1,White,M
2665,3,3,3,3,3,unk,unk,1,unk,F
2653,3,3,3,3,3,unk,unk,1,White,M
2657,3,3,3,3,3,unk,unk,1,White,M
2645,3,3,3,3,3,unk,unk,1,White,F
9674,unk,unk,unk,3,3,unk,unk,1,White,F
2663,3,3,3,3,3,unk,unk,1,White,M
9675,unk,unk,unk,3,3,unk,unk,1,White,F
2671,3,3,3,3,3,unk,unk,1,White,F
2654,3,3,3,3,3,unk,unk,1,White,F
2649,3,3,3,3,3,unk,unk,1,White,F
3170,3,606,3,3,3,unk,unk,1,Black,M
2660,3,3,3,3,3,unk,unk,1,White,M
2667,3,3,3,3,3,unk,unk,1,White,M
8009,3,unk,3,3,3,unk,unk,1,Black,F
2647,3,3,3,3,3,unk,unk,1,White,F
2658,3,3,3,3,3,unk,unk,1,White,M
2659,3,3,3,3,3,unk,unk,1,White,M
2669,3,3,3,3,3,unk,unk,1,White,M
2651,3,3,3,3,3,unk,unk,1,White,F
2650,3,3,3,3,3,unk,unk,1,White,F
2666,3,3,3,3,3,unk,unk,1,White,F
2646,3,3,3,3,3,unk,unk,1,White,F
2803,5,5,5,5,5,unk,unk,1,Black,F
2852,5,5,5,5,5,unk,unk,1,White,F
2820,5,5,5,5,5,unk,unk,1,unk,M
2804,5,5,5,5,5,unk,unk,1,White,F
2849,5,5,5,5,5,unk,unk,1,Black,M
2809,5,5,5,5,5,unk,unk,1,Black,M
2853,5,5,5,5,5,unk,unk,1,White,M
2420,702,602,702,5,5,unk,unk,1,White,F
2811,5,5,5,5,5,unk,unk,1,White,M
2835,5,5,5,5,5,unk,unk,1,White,M
