source,target,con_type,con_year
2664,2654,f,c1
2664,2659,f,c1
2664,2712,f,c1
2664,2654,f,c2
2664,2659,f,c2
2664,2656,f,c2
2664,2647,f,c2
2664,2651,f,c3
2664,2654,f,c3
2664,2659,f,c3
2664,2651,f,c4
2664,8008,b,c4
2664,8009,f,c4
2664,2668,b,c4
2664,2660,b,c4
2664,2662,b,c4
2664,2671,b,c4
2664,8008,b,c5
2664,2655,f,c5
2664,2673,b,c5
2664,2668,b,c5
2664,2660,b,c5
2664,2648,b,c5
2674,2668,f,c1
2674,2672,f,c1
2674,2658,f,c1
2674,2677,f,c1
2674,2660,f,c1
2674,2668,f,c2
2674,2672,f,c2
2674,2658,f,c2
2674,2661,f,c2
2674,2682,f,c2
2674,2682,f,c3
2674,2686,f,c3
2674,2672,f,c3
2674,2658,f,c3
2674,8008,f,c4
2674,2672,f,c5
2652,2673,f,c1
2652,2656,f,c1
2652,2651,f,c1
2652,2659,f,c2
2652,2656,f,c2
2652,2680,f,c2
2652,2654,f,c2
2652,2656,f,c3
2652,2659,f,c3
2652,2651,f,c3
2652,2654,f,c3
2673,2652,f,c1
2673,2672,f,c2
2673,2667,f,c2
2673,2663,f,c2
2673,3170,f,c2
2673,2696,f,c2
2673,2672,f,c3
2673,2663,f,c3
2673,2668,f,c3
2673,2661,f,c3
2673,2667,f,c3
2673,2663,f,c4
2673,2672,f,c4
2673,2667,f,c4
2673,2661,f,c5
2673,2663,f,c5
2673,2668,f,c5
2673,2672,f,c5
2673,2657,f,c5
2655,2659,f,c1
2655,2656,f,c1
2655,2650,f,c1
2655,2656,f,c2
2655,2656,f,c3
2655,2680,f,c3
2655,2651,f,c3
2655,8008,f,c3
2655,2701,f,c3
2655,2656,f,c4
2655,2646,b,c4
2655,2666,b,c4
2655,2664,f,c5
2655,2656,f,c5
2668,2661,f,c1
2668,2674,f,c1
2668,2672,f,c1
2668,2658,f,c1
2668,2657,f,c1
2668,2661,f,c2
2668,2674,f,c2
2668,2672,f,c2
2668,2658,f,c2
2668,8008,f,c2
2668,2658,f,c3
2668,2672,f,c3
2668,2661,f,c3
2668,2657,f,c3
2668,2663,f,c3
2668,2661,f,c4
2668,2658,f,c4
2668,2672,f,c4
2668,2663,f,c4
2668,2657,f,c4
2668,2661,f,c5
2668,2673,f,c5
2668,2672,f,c5
2668,2658,f,c5
2668,3089,f,c5
2648,2649,f,c1
2648,2670,f,c1
2648,2666,f,c1
2648,2650,f,c1
2648,2651,f,c1
2648,2685,f,c2
2648,2691,f,c2
2648,2683,f,c2
2648,8010,f,c2
2648,2651,f,c2
2648,2654,f,c3
2648,2691,f,c3
2648,2666,f,c4
2648,2670,f,c4
2648,2651,f,c4
2648,2654,f,c5
2648,2666,f,c5
2648,2670,f,c5
2648,2667,f,c5
2661,2668,f,c1
2661,2672,f,c1
2661,2668,f,c2
2661,2674,f,c2
2661,2657,f,c2
2661,8008,f,c2
2661,2658,f,c2
2661,2668,f,c3
2661,8011,f,c3
2661,8008,f,c3
2661,2657,f,c3
2661,2673,f,c4
2661,2663,f,c4
2661,2658,f,c4
2661,2657,f,c4
2661,8008,f,c4
2661,2673,f,c5
2661,2668,f,c5
2661,2658,f,c5
2661,3170,f,c5
2672,2658,f,c1
2672,2668,f,c1
2672,2674,f,c1
2672,2661,f,c1
2672,2658,f,c2
2672,2668,f,c2
2672,2674,f,c2
2672,2661,f,c2
2672,2673,f,c2
2672,2658,f,c3
2672,2668,f,c3
2672,2674,f,c3
2672,2661,f,c3
2672,2658,f,c4
2672,2668,f,c4
2672,2661,f,c4
2672,3170,f,c4
2672,2658,f,c5
2672,2668,f,c5
2672,9675,f,c5
2672,2661,f,c5
2672,3170,f,c5
2662,2667,f,c1
2662,2663,f,c1
2662,2695,f,c1
2662,8008,f,c2
2662,2663,f,c2
2662,8008,f,c3
2662,2667,f,c3
2662,8011,f,c3
2662,2663,f,c3
2662,2667,f,c4
2662,8008,f,c4
2662,2663,f,c4
2662,3170,f,c4
2662,8008,f,c5
2662,2664,v,c5
2662,2667,f,c5
2662,2652,v,c5
2662,3170,f,c5
2662,2663,f,c5
2670,2666,f,c1
2670,2671,f,c1
2670,2666,f,c2
2670,2665,f,c2
2670,2683,f,c2
2670,8010,f,c2
2670,2646,f,c2
2670,2666,f,c3
2670,2665,f,c3
2670,8010,f,c3
2670,2646,f,c3
2670,2650,f,c3
2670,2665,f,c4
2670,2657,b,c4
2670,2646,v,c4
2670,8008,b,c4
2670,9674,v,c4
2670,2648,f,c4
2670,2661,b,c4
2670,2671,v,c4
2670,2666,f,c4
2670,2667,b,c4
2670,2650,f,c4
2670,2666,f,c5
2670,8008,b,c5
2670,2665,f,c5
2670,2673,b,c5
2670,9675,f,c5
2670,2667,f,c5
2656,2654,f,c1
2656,2652,f,c1
2656,2651,f,c1
2656,2655,f,c1
2656,2655,f,c2
2656,2654,f,c2
2656,2651,f,c2
2656,2652,f,c2
2656,8009,f,c2
2656,2655,f,c3
2656,2652,f,c3
2656,2654,f,c3
2656,2651,f,c3
2656,2655,f,c4
2656,2646,b,c4
2656,2652,f,c4
2656,2654,f,c4
2656,2651,f,c4
2656,2654,f,c5
2656,2652,f,c5
2656,2648,f,c5
3089,3102,f,c1
3089,3091,f,c1
3089,3170,f,c2
3089,3170,f,c3
3089,2663,f,c3
3089,2657,b,c4
3089,2669,v,c4
3089,2673,f,c4
3089,2663,f,c4
3089,3170,f,c4
3089,3170,f,c5
3089,2662,f,c5
3089,2673,f,c5
2665,2671,f,c1
2653,2669,f,c1
2653,2658,f,c1
2653,2659,f,c1
2653,2669,f,c2
2653,2658,f,c2
2653,2674,f,c2
2653,2659,f,c2
2653,2669,f,c3
2653,2658,f,c3
2653,2659,f,c3
2653,2674,f,c3
2653,2674,f,c4
2653,2674,f,c5
2653,2658,f,c5
2653,2659,f,c5
2657,2668,f,c1
2657,2661,f,c1
2657,2660,f,c1
2657,2658,f,c1
2657,2667,f,c1
2657,2660,f,c2
2657,2661,f,c2
2657,2668,f,c2
2657,2673,f,c2
2657,2661,f,c3
2657,2658,f,c3
2657,2674,f,c3
2657,2672,f,c3
2657,2658,f,c4
2657,2668,f,c4
2657,2672,f,c4
2657,2661,f,c4
2657,2661,f,c5
2657,2658,f,c5
2657,2672,f,c5
2657,2668,f,c5
2657,2663,f,c5
2645,2649,f,c1
2645,2666,f,c1
2645,2650,f,c1
2645,2675,f,c1
2645,2649,f,c2
2645,2647,f,c2
2645,2650,f,c2
2645,2646,f,c2
2645,2675,f,c2
2645,2647,f,c3
2645,2649,f,c3
2645,2671,f,c3
2645,2675,f,c3
2645,2647,f,c4
2645,8008,b,c4
2645,2671,f,c4
2645,2646,b,c4
2645,2649,f,c4
2645,2669,b,c4
2645,2673,b,c4
2645,2663,b,c4
9674,2673,v,c4
9674,2646,b,c4
2663,2667,f,c1
2663,2662,f,c1
2663,2662,f,c2
2663,2678,f,c2
2663,2673,f,c3
2663,2674,f,c3
2663,2662,f,c3
2663,2668,f,c3
9675,2666,f,c4
9675,2670,f,c4
9675,2671,f,c4
9675,9674,f,c4
9675,2672,f,c5
9675,2673,b,c5
9675,2666,f,c5
9675,2670,f,c5
9675,2646,f,c5
9675,2650,f,c5
2671,2670,f,c1
2671,2665,f,c1
2671,2646,f,c1
2671,2646,f,c2
2671,2649,f,c2
2671,2666,f,c2
2671,2670,f,c2
2671,8010,f,c2
2671,2649,f,c3
2671,2645,f,c3
2671,2646,f,c3
2671,2670,f,c3
2671,2646,b,c4
2671,2646,v,c4
2671,2649,f,c4
2671,2645,f,c4
2671,9674,f,c4
2671,2647,f,c4
2671,2647,f,c5
2671,2646,b,c5
2671,2651,v,c5
2671,2645,f,c5
2671,2649,b,c5
2671,2649,v,c5
2671,2649,f,c5
2671,2665,f,c5
2654,2651,f,c1
2654,2656,f,c1
2654,2647,f,c1
2654,2664,f,c1
2654,2659,f,c1
2654,2687,f,c2
2654,2651,f,c2
2654,2656,f,c2
2654,2647,f,c2
2654,2664,f,c2
2654,2659,f,c3
2654,2651,f,c3
2654,2647,f,c3
2654,2652,f,c3
2654,2681,f,c3
2649,2650,f,c1
2649,2666,f,c1
2649,2645,f,c1
2649,2648,f,c1
2649,2674,f,c1
2649,2645,f,c2
2649,2650,f,c2
2649,2666,f,c2
2649,2646,f,c2
2649,2645,f,c3
2649,2671,f,c3
2649,2701,f,c3
2649,2694,f,c3
2649,2699,f,c3
2649,2671,f,c4
2649,2645,f,c4
2649,9675,f,c4
2649,2647,f,c4
2649,2666,f,c4
3170,3181,f,c1
3170,3178,f,c1
3170,3174,f,c1
3170,2958,f,c1
3170,3089,f,c2
3170,2663,f,c2
3170,2673,f,c2
3170,2674,f,c2
3170,8010,f,c3
3170,8011,f,c3
3170,3089,f,c3
3170,8008,f,c3
3170,2673,f,c4
3170,2657,b,c4
3170,2662,f,c4
3170,2667,f,c4
3170,3089,f,c4
3170,8008,f,c4
3170,8008,f,c5
3170,2661,f,c5
3170,3089,f,c5
3170,2663,f,c5
2660,2658,f,c1
2660,2672,f,c1
2660,2661,f,c1
2660,2658,f,c2
2660,2668,f,c2
2660,2682,f,c2
2660,2668,f,c3
2660,2672,f,c3
2660,2657,f,c4
2660,2661,f,c4
2660,2658,f,c5
2660,2672,f,c5
2660,9675,f,c5
2667,2662,f,c1
2667,2663,f,c1
2667,2657,f,c1
2667,8008,f,c2
2667,2662,f,c2
2667,2660,f,c2
2667,2673,f,c2
2667,2657,f,c2
2667,8010,f,c3
2667,3170,f,c3
2667,8008,f,c3
2667,2662,f,c3
2667,8008,f,c4
2667,2662,f,c4
2667,2673,f,c4
2667,3170,f,c4
2667,8008,f,c5
2667,9674,b,c5
2667,9674,v,c5
2667,2662,f,c5
2667,2663,v,c5
2667,3170,f,c5
2667,2660,v,c5
2667,2670,f,c5
2667,2666,f,c5
8009,2651,f,c2
8009,2654,f,c2
8009,2647,f,c2
8009,2659,f,c2
8009,2652,f,c2
8009,2651,f,c3
8009,2654,f,c3
8009,2685,f,c3
8009,2659,f,c3
8009,2662,f,c3
8009,2651,f,c4
8009,2651,f,c5
2647,2654,f,c1
2647,2656,f,c1
2647,2649,f,c1
2647,2654,f,c2
2647,2649,f,c2
2647,2645,f,c2
2647,2654,f,c3
2647,2645,f,c3
2647,2649,f,c3
2647,2645,f,c4
2647,9674,b,c4
2647,9674,f,c4
2647,2646,b,c4
2647,2671,f,c4
2658,2672,f,c1
2658,2674,f,c1
2658,2668,f,c1
2658,2669,f,c1
2658,2653,f,c1
2658,2672,f,c2
2658,2668,f,c2
2658,2669,f,c2
2658,2674,f,c2
2658,2660,f,c2
2658,2672,f,c3
2658,2668,f,c3
2658,2661,f,c3
2658,2672,f,c4
2658,2660,v,c4
2658,2668,f,c4
2658,2661,f,c4
2658,2657,f,c4
2658,2669,f,c4
2658,2672,f,c5
2658,2659,b,c5
2658,2668,f,c5
2658,2673,b,c5
2658,9675,f,c5
2658,3089,b,c5
2658,2661,f,c5
2658,2657,f,c5
2659,2655,f,c1
2659,2656,f,c1
2659,2669,f,c1
2659,2653,f,c1
2669,2658,f,c1
2669,2672,f,c1
2669,2674,f,c1
2669,2668,f,c1
2669,2659,f,c1
2669,2658,f,c2
2669,2659,f,c2
2669,2674,f,c2
2669,2687,f,c2
2669,2674,f,c3
2669,2661,f,c3
2669,2702,f,c3
2669,2682,f,c3
2669,2660,v,c4
2669,2674,f,c4
2669,2661,f,c4
2669,2659,f,c4
2669,2660,b,c5
2669,2660,v,c5
2669,2674,f,c5
2669,8008,f,c5
2651,2656,f,c1
2651,2654,f,c1
2651,2664,f,c1
2651,2648,f,c1
2651,2707,f,c1
2651,2654,f,c2
2651,2656,f,c2
2651,2659,f,c2
2651,2652,f,c2
2651,8009,f,c3
2651,2656,f,c3
2651,2652,f,c3
2651,2659,f,c3
2651,2654,f,c3
2651,8009,f,c4
2651,2664,v,c4
2651,2654,f,c4
2651,2648,f,c4
2651,2656,f,c4
2651,8009,f,c5
2651,2656,f,c5
2651,2654,f,c5
