source,target,con_type,con_year
2569,2539,f,2
628,188,b,4
754,985,f,1
7251,6361,f,2
693,485,f,4
359,509,f,1
2038,1879,f,6
5397,5430,f,7
4379,4282,f,1
799,1319,f,2
1112,1119,f,1
2907,8062,f,5
2170,1736,f,1
5089,5371,b,7
756,1404,f,5
4996,8097,f,6
552,532,f,4
2821,2819,f,3
2956,2949,f,4
5104,5282,f,4
1629,1630,f,1
5303,9595,b,5
7224,10159,f,7
3006,3009,f,3
4930,4979,f,3
3318,3153,f,2
974,806,f,3
2139,1318,f,3
4365,4216,f,2
3029,3014,f,4
8098,3193,f,4
3602,3681,f,1
4789,4871,f,4
9041,6361,f,4
5066,5206,f,3
8072,4954,f,3
2208,2048,f,1
7438,7440,v,4
5597,8617,v,6
1978,1985,f,1
2680,2685,f,4
4794,4692,f,6
9629,3884,f,4
6115,7122,f,5
2727,2728,f,3
7364,7360,f,5
1438,1353,f,7
3146,3134,f,4
993,991,f,3
493,395,f,5
1718,844,f,5
897,1829,f,6
325,630,b,5
9319,9316,f,5
5072,5468,f,5
5227,5224,f,1
2021,1819,f,6
683,404,f,1
2120,1243,f,7
1875,2183,f,4
7161,6324,f,1
9455,119,f,4
1230,1769,f,3
5032,9580,f,4
2184,1354,b,6
5551,5405,b,6
3209,3102,f,3
7332,6261,f,2
6470,5241,f,6
3359,676,f,3
4266,4552,f,5
297,74,f,2
6249,8592,f,3
2942,3181,f,4
4791,4698,f,5
7439,7431,f,5
6139,6145,f,3
4966,4761,f,5
2589,2498,f,4
5101,5031,f,4
635,486,f,1
4476,4484,f,1
5373,5498,f,3
655,486,f,1
984,970,f,5
3498,3486,f,1
3763,3763,f,5
7182,6146,f,1
4964,4820,f,3
4289,4281,f,2
3873,3985,f,2
6399,6418,f,2
4542,4503,f,3
570,582,f,2
3470,3431,f,4
6640,7115,f,1
3565,3664,f,1
7404,6102,f,1
8711,7250,f,5
2202,2201,f,2
3420,3413,f,2
2447,2433,b,4
930,914,f,1
4256,4259,f,2
2057,2116,f,5
1038,1112,f,2
793,875,f,6
6480,6485,f,2
5351,5587,f,5
2577,2718,f,5
2465,2524,f,2
4335,4357,f,3
3630,3522,f,4
357,4114,f,4
1051,962,f,1
4087,4103,f,2
2849,2816,f,5
3081,3242,f,3
1717,1720,f,7
2439,2444,f,1
1390,1462,f,4
1339,1200,f,1
912,1442,f,2
3174,3128,f,1
1052,2153,f,6
9110,962,f,4
3488,3490,f,5
4722,4961,f,4
3038,3057,f,3
4258,4296,f,1
7131,7135,f,3
4750,4768,f,3
145,528,f,2
4978,4829,f,2
6101,9404,f,5
3998,4095,f,1
4395,4550,f,1
1699,2009,f,3
2671,2649,f,5
91,446,f,1
5428,6110,f,7
6068,6199,f,3
1223,1214,f,2
3646,3563,f,2
5485,5483,f,2
2249,2238,f,1
6418,7446,f,4
7315,6248,f,6
9537,9514,b,6
2997,2994,f,2
5405,5551,f,5
7247,6148,f,4
2146,1929,f,2
3613,3636,f,1
2583,2556,f,4
5430,5439,f,4
4025,3869,f,1
6310,7285,f,2
68,118,f,3
5285,4687,f,4
4539,4528,f,3
2497,2506,f,3
3294,3411,f,1
1276,1251,f,1
3884,3937,b,4
514,311,f,4
4571,158,f,5
1954,1228,f,4
5223,5442,f,7
431,4252,f,2
1830,1442,f,5
1198,1411,f,5
2035,1251,f,2
2186,1510,v,4
2831,2829,f,1
2813,2839,f,1
1975,1983,f,1
7208,7216,f,1
4501,3616,f,3
