idego,idalter,actiondate,dailycontactcount
1055,1032,2012-Oct-30,1
697,693,2013-May-25,4
569,619,2013-Sep-22,1
1011,1006,2013-Oct-31,2
960,406,2013-Mar-17,1
1525,1652,2012-Nov-17,1
205,204,2013-Dec-25,1
613,572,2015-Jan-15,1
790,808,2013-Jul-26,3
758,757,2013-Jan-11,10
859,980,2012-Sep-17,2
584,1023,2015-Jan-01,2
601,572,2015-Jun-18,1
1334,161,2013-Apr-15,1
1523,1663,2012-Oct-06,1
764,1312,2013-Mar-16,1
1334,208,2012-Dec-08,2
605,591,2012-Dec-01,1
1676,186,2012-Dec-20,1
687,720,2016-Jan-17,1
693,876,2014-May-05,2
71,64,2011-Mar-23,1
612,613,2015-Feb-19,1
365,1468,2015-Jun-28,1
689,874,2013-Jun-20,1
1260,1710,2015-Apr-12,2
176,174,2012-Oct-14,1
1253,1248,2013-Apr-03,2
697,689,2013-Jun-03,5
740,705,2012-Dec-19,1
709,780,2014-Sep-20,6
693,758,2012-Nov-14,2
946,1560,2013-Nov-13,2
875,693,2015-Dec-10,1
1376,592,2013-Oct-14,1
1094,1059,2012-Nov-11,4
884,876,2012-Dec-25,2
32,1362,2015-Feb-28,1
398,679,2012-Sep-26,2
1005,814,2012-Oct-28,1
884,696,2013-Apr-19,1
1678,212,2013-Mar-05,2
808,788,2012-Dec-08,1
1457,335,2012-Nov-17,2
1453,817,2013-Mar-26,1
694,1452,2013-Mar-19,1
1468,345,2014-Dec-25,1
613,1055,2012-Mar-29,3
206,161,2015-May-13,1
335,1457,2012-Nov-12,2
724,726,2013-Oct-26,1
693,697,2013-Feb-25,9
845,815,2015-May-16,3
1112,1101,2013-Jun-07,1
625,656,2013-Jun-01,1
161,258,2012-Dec-19,1
1376,1453,2014-Apr-06,2
743,1600,2013-Nov-27,1
417,1335,2012-Nov-23,1
686,578,2013-Nov-02,4
1063,799,2013-Aug-03,1
859,824,2013-Dec-03,1
806,757,2013-Apr-01,3
642,807,2013-Jan-12,21
1239,1339,2013-Oct-24,1
771,693,2012-Nov-02,4
875,1600,2014-Dec-29,1
625,398,2013-Mar-22,2
215,241,2015-Apr-15,1
1453,576,2013-Nov-02,1
736,731,2012-Nov-11,1
605,1055,2013-Feb-25,1
203,159,2012-Nov-24,3
591,606,2015-Apr-13,7
182,274,2012-Dec-13,1
826,30,2015-Apr-30,1
375,411,2015-Feb-27,1
223,234,2014-Feb-23,1
769,662,2012-Oct-18,3
758,806,2016-Mar-14,2
202,216,2015-Jul-05,2
806,945,2014-May-24,1
278,287,2015-Mar-23,5
1147,709,2014-Oct-26,1
740,759,2013-Jan-14,1
818,597,2013-Nov-30,1
736,709,2016-Jan-09,1
727,806,2013-Jun-23,1
697,705,2013-Apr-13,1
1015,1006,2015-Aug-06,1
693,758,2012-Sep-25,3
1320,157,2015-Mar-30,1
758,875,2012-Oct-25,2
563,820,2013-Dec-01,1
783,790,2012-Dec-10,2
1207,1170,2013-Dec-14,1
110,93,2015-Jan-20,3
426,1396,2013-Dec-24,2
642,772,2012-Nov-22,5
606,613,2015-Apr-07,1
161,207,2013-Mar-02,1
418,203,2013-Mar-05,1
1577,1239,2013-Jun-21,1
1061,879,2013-Jul-18,11
185,225,2013-Mar-03,1
1112,1011,2012-Dec-27,3
864,857,2013-Oct-05,1
1332,159,2014-Jun-06,1
696,689,2012-Oct-10,1
849,1081,2013-Feb-20,1
335,1457,2014-Oct-10,1
697,806,2013-Jan-11,1
578,807,2013-Oct-02,1
669,960,2014-Jan-17,1
806,759,2012-Aug-10,1
686,538,2012-Dec-25,1
799,854,2012-Nov-12,1
89,80,2015-Sep-10,1
1223,1101,2013-Aug-14,1
417,1335,2013-Jul-09,1
613,601,2011-Sep-04,1
207,161,2015-Sep-28,1
44,48,2013-Jun-08,1
676,1047,2012-Dec-24,1
1080,1300,2013-Jan-01,1
1270,1410,2014-Mar-07,2
605,572,2015-Jan-14,4
82,93,2014-Mar-14,1
1226,981,2014-Jun-15,1
1315,1311,2012-Sep-15,7
231,171,2014-Sep-19,1
431,663,2013-Nov-22,2
220,1678,2013-May-18,1
676,161,2012-Oct-01,1
740,806,2013-Mar-01,1
1223,1020,2012-Oct-06,1
215,226,2013-Aug-12,1
339,1467,2014-Jul-19,1
169,176,2012-Oct-22,1
638,1467,2013-Jan-12,1
41,1397,2013-Apr-12,1
185,213,2013-Sep-20,1
642,587,2012-Dec-28,4
595,597,2014-May-16,4
1101,1000,2013-Jun-04,1
342,335,2015-Jan-14,3
82,105,2015-Dec-12,1
1154,203,2014-Aug-20,1
1538,1539,2013-Mar-31,1
736,724,2013-Oct-26,1
374,1659,2014-Jan-24,3
583,818,2014-Jun-25,1
1272,961,2013-Jun-04,1
750,879,2014-Apr-11,2
1143,1046,2014-Jun-07,1
579,478,2013-Jul-03,2
769,895,2012-Nov-13,3
158,203,2014-Apr-28,1
701,875,2014-Nov-15,3
205,257,2014-Dec-27,1
1064,1300,2012-Sep-27,1
704,720,2013-Mar-08,1
1236,1561,2012-Oct-25,1
726,724,2013-Jun-18,1
1053,418,2012-Dec-19,1
920,817,2013-Mar-28,1
333,335,2013-Mar-20,2
827,1037,2012-Nov-18,2
1239,1248,2013-Nov-15,1
916,693,2013-Mar-02,1
234,211,2013-Jul-01,3
1312,774,2012-Dec-13,2
565,1376,2015-Dec-16,2
703,775,2014-Feb-13,1
740,763,2013-May-14,2
257,204,2013-Jan-07,1
289,288,2015-Jan-09,1
875,743,2014-Jan-21,1
1317,1458,2014-Dec-03,1
795,1395,2013-Aug-06,2
499,835,2014-Apr-07,11
999,814,2015-Jan-09,1
731,704,2013-Jan-31,1
869,815,2013-Mar-20,3
533,663,2014-Jun-23,2
1236,1239,2013-Mar-27,1
713,884,2013-Apr-01,1
287,278,2014-Sep-29,3
1064,1272,2015-Mar-09,1
1006,1015,2015-Mar-26,9
478,699,2015-Sep-04,1
693,945,2014-Nov-08,1
728,632,2013-Aug-18,3
184,176,2012-Oct-14,2
689,736,2015-Jun-30,1
927,572,2015-Jan-05,1
170,169,2013-May-09,1
1239,1311,2014-Sep-25,1
211,233,2012-Oct-05,1
393,345,2015-Oct-21,1
117,80,2015-Nov-16,1
1458,259,2014-Mar-13,1
806,743,2015-Dec-01,1
211,227,2013-Jul-28,1
1320,259,2015-Dec-11,1
750,818,2014-Apr-13,1
263,1366,2014-Sep-06,1
480,912,2013-Mar-20,1
691,976,2011-Jun-21,1
987,989,2013-Apr-17,3
159,161,2014-Mar-10,1
807,635,2013-Oct-07,1
1600,704,2013-Oct-28,1
1181,1680,2015-Mar-21,3
1561,1239,2013-Jan-03,1
225,219,2013-Sep-03,1
161,1331,2015-Jul-04,1
758,720,2014-Apr-22,1
1467,356,2012-Nov-21,3
693,746,2015-Jan-07,1
206,161,2013-May-09,1
790,782,2014-Jun-01,1
234,230,2013-May-19,1
807,587,2013-Apr-18,1
208,1053,2012-Sep-21,1
1285,1064,2014-Oct-05,1
773,751,2013-Mar-17,2
287,288,2016-Mar-14,1
342,400,2013-May-15,1
693,945,2013-Feb-17,7
564,750,2014-Jun-12,1
959,1396,2014-Apr-15,1
607,584,2014-Jul-30,1
702,689,2012-Dec-17,1
1600,806,2013-Mar-15,1
579,807,2014-Jan-29,1
945,709,2012-Nov-28,1
1458,418,2013-Nov-11,1
219,199,2012-Jul-31,2
702,709,2014-Sep-15,1
344,393,2012-Sep-21,4
89,92,2015-Dec-18,1
1266,1240,2014-Feb-17,1
588,1039,2015-May-05,1
751,845,2013-Jan-28,1
750,827,2014-Nov-18,1
836,788,2013-Oct-22,2
606,1027,2013-Oct-31,1
619,586,2014-Apr-10,1
1317,1458,2015-Apr-30,1
257,206,2012-Nov-15,1
331,403,2014-Jan-11,1
758,916,2014-Apr-09,1
689,916,2014-May-20,5
207,1458,2014-Nov-20,1
959,509,2013-Apr-20,1
740,775,2015-Mar-23,1
579,807,2012-Nov-05,2
193,175,2013-May-23,2
229,234,2012-Feb-09,1
244,235,2014-Jul-18,1
1657,942,2013-Dec-03,2
1379,1253,2014-Nov-27,3
588,572,2012-Dec-08,1
1619,663,2015-Apr-10,1
1456,337,2012-Oct-12,1
399,343,2015-Jan-19,1
771,806,2013-Oct-30,1
619,592,2014-Jan-08,1
343,399,2014-Feb-17,1
417,1335,2013-Aug-08,3
1326,1334,2014-Feb-03,1
410,445,2014-Dec-02,1
1135,1331,2015-Feb-26,1
1600,720,2014-May-03,1
1154,257,2013-Mar-18,1
881,1065,2013-Oct-18,1
572,584,2015-Jun-29,2
170,185,2013-Jun-09,1
563,1376,2014-Nov-27,2
635,469,2012-Sep-19,1
703,806,2014-Nov-24,1
689,737,2014-May-22,3
178,226,2014-Jul-13,1
1490,533,2012-Dec-04,2
226,170,2013-Sep-30,5
759,694,2015-Mar-27,1
877,994,2014-Feb-18,1
406,44,2014-May-25,1
259,1332,2012-Dec-23,2
693,696,2015-Dec-21,1
1317,203,2015-Dec-04,1
204,203,2012-Dec-27,1
1575,578,2013-May-19,1
817,827,2014-Jan-01,1
763,740,2012-Dec-19,1
393,638,2012-Oct-12,1
875,701,2013-Jan-04,1
874,731,2013-Jun-08,1
1101,1006,2013-Dec-24,1
1112,1001,2013-Oct-05,1
1653,1654,2012-Oct-05,1
259,263,2012-Sep-17,5
335,330,2012-Sep-13,1
572,1032,2012-Sep-22,1
999,828,2015-Aug-19,1
1473,499,2012-Nov-12,2
1177,1170,2013-Jan-25,1
